source name	characteristics[organism part]	characteristics[organism]	characteristics[disease]	characteristics[cell type]	assay name	comment[data file]	comment[instrument]	comment[fraction identifier]
2m__BG1_01_1078.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BG1_01_1078.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BG1_01_1078.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
2m__BG5_01_1082.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BG5_01_1082.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BG5_01_1082.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
2m__BG6_01_1083.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BG6_01_1083.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BG6_01_1083.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
2m__BG7_01_1084.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BG7_01_1084.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BG7_01_1084.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
2m__BG8_01_1085.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BG8_01_1085.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BG8_01_1085.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
2m__BG9_01_1086.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BG9_01_1086.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BG9_01_1086.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
2m__BG10_01_1087.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BG10_01_1087.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BG10_01_1087.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
2m__BG11_01_1088.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BG11_01_1088.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BG11_01_1088.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
2m__BG12_01_1089.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BG12_01_1089.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BG12_01_1089.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
3m__BF4_01_1169.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BF4_01_1169.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BF4_01_1169.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
3m__BF5_01_1170.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BF5_01_1170.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BF5_01_1170.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
3m__BF6_01_1171.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BF6_01_1171.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BF6_01_1171.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
3m__BF7_01_1172.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BF7_01_1172.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BF7_01_1172.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
3m__BF8_01_1173.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BF8_01_1173.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BF8_01_1173.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
3m__BF9_01_1174.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BF9_01_1174.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BF9_01_1174.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
3m__BF10_01_1175.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BF10_01_1175.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BF10_01_1175.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
3m__BF11_01_1176.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BF11_01_1176.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BF11_01_1176.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
3m__BF12_01_1177.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BF12_01_1177.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BF12_01_1177.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
3m__BG1_01_1178.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG1_01_1178.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG1_01_1178.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
3m__BG2_01_1179.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG2_01_1179.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG2_01_1179.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
3m__BG3_01_1180.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG3_01_1180.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG3_01_1180.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
3m__BG4_01_1181.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG4_01_1181.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG4_01_1181.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
3m__BG5_01_1182.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG5_01_1182.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG5_01_1182.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
3m__BG6_01_1183.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG6_01_1183.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG6_01_1183.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
3m__BG7_01_1184.mzXML	not applicable	not applicable	not applicable	not applicable	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG7_01_1184.mzXML	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG7_01_1184.mzXML	impact|MS:1002077	dd5c5706-7343-46e4-962c-be668af276f2
