source name	characteristics[organism part]	characteristics[organism]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	assay name	comment[data file]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[separation]	comment[ionization]	comment[internalstandard]	comment[extraction]	comment[cleavage agent details]
1	not applicable	not applicable	not applicable	blank_analysis	1	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BG1_01_1078.mzXML	2m__BG1_01_1078.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	1	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
2	not applicable	not applicable	not applicable	blank_analysis	2	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BG5_01_1082.mzXML	2m__BG5_01_1082.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	2	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
3	not applicable	not applicable	not applicable	blank_analysis	3	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BG6_01_1083.mzXML	2m__BG6_01_1083.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	3	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
4	not applicable	not applicable	not applicable	blank_analysis	4	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BG7_01_1084.mzXML	2m__BG7_01_1084.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	4	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
5	not applicable	not applicable	not applicable	blank_analysis	5	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BG8_01_1085.mzXML	2m__BG8_01_1085.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	5	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
6	not applicable	not applicable	not applicable	blank_analysis	6	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BG9_01_1086.mzXML	2m__BG9_01_1086.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	6	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
7	not applicable	not applicable	not applicable	blank_analysis	7	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BG10_01_1087.mzXML	2m__BG10_01_1087.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	7	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
8	not applicable	not applicable	not applicable	blank_analysis	8	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BG11_01_1088.mzXML	2m__BG11_01_1088.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	8	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
9	not applicable	not applicable	not applicable	blank_analysis	9	f.MSV000078556/ccms_peak/Human_Swabs/Man/2m__BG12_01_1089.mzXML	2m__BG12_01_1089.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	9	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
10	not applicable	not applicable	not applicable	blank_analysis	10	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BF4_01_1169.mzXML	3m__BF4_01_1169.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	10	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
11	not applicable	not applicable	not applicable	blank_analysis	11	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BF5_01_1170.mzXML	3m__BF5_01_1170.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	11	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
12	not applicable	not applicable	not applicable	blank_analysis	12	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BF6_01_1171.mzXML	3m__BF6_01_1171.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	12	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
13	not applicable	not applicable	not applicable	blank_analysis	13	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BF7_01_1172.mzXML	3m__BF7_01_1172.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	13	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
14	not applicable	not applicable	not applicable	blank_analysis	14	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BF8_01_1173.mzXML	3m__BF8_01_1173.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	14	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
15	not applicable	not applicable	not applicable	blank_analysis	15	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BF9_01_1174.mzXML	3m__BF9_01_1174.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	15	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
16	not applicable	not applicable	not applicable	blank_analysis	16	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BF10_01_1175.mzXML	3m__BF10_01_1175.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	16	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
17	not applicable	not applicable	not applicable	blank_analysis	17	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BF11_01_1176.mzXML	3m__BF11_01_1176.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	17	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
18	not applicable	not applicable	not applicable	blank_analysis	18	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BF12_01_1177.mzXML	3m__BF12_01_1177.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	18	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
19	not applicable	not applicable	not applicable	blank_analysis	19	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG1_01_1178.mzXML	3m__BG1_01_1178.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	19	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
20	not applicable	not applicable	not applicable	blank_analysis	20	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG2_01_1179.mzXML	3m__BG2_01_1179.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	20	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
21	not applicable	not applicable	not applicable	blank_analysis	21	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG3_01_1180.mzXML	3m__BG3_01_1180.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	21	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
22	not applicable	not applicable	not applicable	blank_analysis	22	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG4_01_1181.mzXML	3m__BG4_01_1181.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	22	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
23	not applicable	not applicable	not applicable	blank_analysis	23	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG5_01_1182.mzXML	3m__BG5_01_1182.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	23	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
24	not applicable	not applicable	not applicable	blank_analysis	24	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG6_01_1183.mzXML	3m__BG6_01_1183.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	24	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
25	not applicable	not applicable	not applicable	blank_analysis	25	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG7_01_1184.mzXML	3m__BG7_01_1184.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	25	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
26	not applicable	not applicable	not applicable	blank_analysis	26	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG8_01_1185.mzXML	3m__BG8_01_1185.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	26	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
27	not applicable	not applicable	not applicable	blank_analysis	27	f.MSV000078556/ccms_peak/Human_Swabs/Man/3m__BG9_01_1186.mzXML	3m__BG9_01_1186.mzXML	NT=impact;AC=MS:1002077	63862050-61d4-4aac-9088-b0c60c50c0ec	27	AC=MS:1002038;NT=label free sample	reverse phase (C18)	electrospray ionization (positive)	none	ethanol-water (1:1)	not applicable
