source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	assay name	comment[fraction identifier]	comment[technical replicate]	comment[Instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[data file]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]
PXD003431_GR_121206_35_OT3_ZNF136_1_HEK293	Homo sapiens	Continuous cell line HEK293	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	0.006 Da	0.1 Da	NT=CID	GR_121206_35_OT3_ZNF136_1_HEK293.mgf	NT=Trypsin (no P rule) (no P rule)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD003431_GR_121206_36_OT3_ZNF528_1_HEK293	Homo sapiens	Continuous cell line HEK293	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	0.006 Da	0.1 Da	NT=CID	GR_121206_36_OT3_ZNF528_1_HEK293.mgf	NT=Trypsin (no P rule) (no P rule)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD003431_GR_121206_58_OT3_ZNF514_1_HEK293	Homo sapiens	Continuous cell line HEK293	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	0.006 Da	0.1 Da	NT=CID	GR_121206_58_OT3_ZNF514_1_HEK293.mgf	NT=Trypsin (no P rule) (no P rule)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD003431_GR_130110_39_OT10_ZBTB12_GFP_1_HEK300	Homo sapiens	Continuous cell line HEK293	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	0.006 Da	0.1 Da	NT=CID	GR_130110_39_OT10_ZBTB12_GFP_1_HEK300.mgf	NT=Trypsin (no P rule) (no P rule)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD003431_GR_130110_47_OT18_ZNF528_GFP_1_HEK308	Homo sapiens	Continuous cell line HEK293	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	0.006 Da	0.1 Da	NT=CID	GR_130110_47_OT18_ZNF528_GFP_1_HEK308.mgf	NT=Trypsin (no P rule) (no P rule)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD003431_GR_130205_66_OT20_ZNF136_GFP_1_HEK293	Homo sapiens	Continuous cell line HEK293	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	0.006 Da	0.1 Da	NT=CID	GR_130205_66_OT20_ZNF136_GFP_1_HEK293.mgf	NT=Trypsin (no P rule) (no P rule)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD003431_GR_130529_17_OT3_YY1_1_HEK293	Homo sapiens	Continuous cell line HEK293	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	0.006 Da	0.1 Da	NT=CID	GR_130529_17_OT3_YY1_1_HEK293.mgf	NT=Trypsin (no P rule) (no P rule)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD003431_GR_130529_18_OT3_YY1_2_HEK293	Homo sapiens	Continuous cell line HEK293	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	0.006 Da	0.1 Da	NT=CID	GR_130529_18_OT3_YY1_2_HEK293.mgf	NT=Trypsin (no P rule) (no P rule)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD003431_GR_130529_21_OT3_ZNF45_1_HEK293	Homo sapiens	Continuous cell line HEK293	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	0.006 Da	0.1 Da	NT=CID	GR_130529_21_OT3_ZNF45_1_HEK293.mgf	NT=Trypsin (no P rule) (no P rule)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD003431_GR_130529_22_OT3_ZNF45_2_HEK293	Homo sapiens	Continuous cell line HEK293	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	0.006 Da	0.1 Da	NT=CID	GR_130529_22_OT3_ZNF45_2_HEK293.mgf	NT=Trypsin (no P rule) (no P rule)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
