source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[disease]	characteristics[sex]	characteristics[age]	characteristics[ancestry category]	characteristics[cell type]	characteristics[cell line]	characteristics[biological replicate]	material type	assay name	technology type	comment[label]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[cleavage agent details]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]
Sample 1	Homo sapiens	breast	adult	breast adenocarcinoma	female	69Y	Caucasian	epithelial	MCF-7	1	cell	run 1	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	FL0026_RFI_261114_Deep_High_ET_F12F27_hybrid.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD003977/FL0026_RFI_261114_Deep_High_ET_F12F27_hybrid.raw	1	1	AC=MS:1001915;NT=leukocyte elastase	AC=MS:1001251;NT=Trypsin	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Deamidated;TA=N,Q;AC=UNIMOD:7;MT=variable	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=fixed	NT=Propionamide;AC=UNIMOD:24;TA=K;PP=Any N-term;MT=variable	20 ppm	0.5 Da
Sample 1	Homo sapiens	breast	adult	breast adenocarcinoma	female	69Y	Caucasian	epithelial	MCF-7	1	cell	run 2	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	FL0026_RFI_261114_Deep_High_ET_F13F28_hybrid.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD003977/FL0026_RFI_261114_Deep_High_ET_F13F28_hybrid.raw	1	2	AC=MS:1001915;NT=leukocyte elastase	AC=MS:1001251;NT=Trypsin	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Deamidated;TA=N,Q;AC=UNIMOD:7;MT=variable	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=fixed	NT=Propionamide;AC=UNIMOD:24;TA=K;PP=Any N-term;MT=variable	20 ppm	0.5 Da
Sample 1	Homo sapiens	breast	adult	breast adenocarcinoma	female	69Y	Caucasian	epithelial	MCF-7	1	cell	run 3	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	FL0026_RFI_261114_Deep_High_ET_F14F29_hybrid.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD003977/FL0026_RFI_261114_Deep_High_ET_F14F29_hybrid.raw	1	3	AC=MS:1001915;NT=leukocyte elastase	AC=MS:1001251;NT=Trypsin	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Deamidated;TA=N,Q;AC=UNIMOD:7;MT=variable	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=fixed	NT=Propionamide;AC=UNIMOD:24;TA=K;PP=Any N-term;MT=variable	20 ppm	0.5 Da
Sample 1	Homo sapiens	breast	adult	breast adenocarcinoma	female	69Y	Caucasian	epithelial	MCF-7	1	cell	run 4	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	FL0026_RFI_261114_Deep_High_ET_F15F30_hybrid.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD003977/FL0026_RFI_261114_Deep_High_ET_F15F30_hybrid.raw	1	4	AC=MS:1001915;NT=leukocyte elastase	AC=MS:1001251;NT=Trypsin	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Deamidated;TA=N,Q;AC=UNIMOD:7;MT=variable	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=fixed	NT=Propionamide;AC=UNIMOD:24;TA=K;PP=Any N-term;MT=variable	20 ppm	0.5 Da
Sample 1	Homo sapiens	breast	adult	breast adenocarcinoma	female	69Y	Caucasian	epithelial	MCF-7	1	cell	run 5	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	FL0026_RFI_261114_Deep_High_ET_F16F31_hybrid.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD003977/FL0026_RFI_261114_Deep_High_ET_F16F31_hybrid.raw	1	5	AC=MS:1001915;NT=leukocyte elastase	AC=MS:1001251;NT=Trypsin	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Deamidated;TA=N,Q;AC=UNIMOD:7;MT=variable	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=fixed	NT=Propionamide;AC=UNIMOD:24;TA=K;PP=Any N-term;MT=variable	20 ppm	0.5 Da
Sample 1	Homo sapiens	breast	adult	breast adenocarcinoma	female	69Y	Caucasian	epithelial	MCF-7	1	cell	run 6	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	FL0026_RFI_261114_Deep_High_ET_F17F32_hybrid.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD003977/FL0026_RFI_261114_Deep_High_ET_F17F32_hybrid.raw	1	6	AC=MS:1001915;NT=leukocyte elastase	AC=MS:1001251;NT=Trypsin	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Deamidated;TA=N,Q;AC=UNIMOD:7;MT=variable	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=fixed	NT=Propionamide;AC=UNIMOD:24;TA=K;PP=Any N-term;MT=variable	20 ppm	0.5 Da
Sample 1	Homo sapiens	breast	adult	breast adenocarcinoma	female	69Y	Caucasian	epithelial	MCF-7	1	cell	run 7	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	FL0026_RFI_261114_Deep_High_ET_F18F33_hybrid.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD003977/FL0026_RFI_261114_Deep_High_ET_F18F33_hybrid.raw	1	7	AC=MS:1001915;NT=leukocyte elastase	AC=MS:1001251;NT=Trypsin	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Deamidated;TA=N,Q;AC=UNIMOD:7;MT=variable	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=fixed	NT=Propionamide;AC=UNIMOD:24;TA=K;PP=Any N-term;MT=variable	20 ppm	0.5 Da
Sample 1	Homo sapiens	breast	adult	breast adenocarcinoma	female	69Y	Caucasian	epithelial	MCF-7	1	cell	run 8	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	FL0026_RFI_261114_Deep_High_ET_F19F34_hybrid.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD003977/FL0026_RFI_261114_Deep_High_ET_F19F34_hybrid.raw	1	8	AC=MS:1001915;NT=leukocyte elastase	AC=MS:1001251;NT=Trypsin	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Deamidated;TA=N,Q;AC=UNIMOD:7;MT=variable	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=fixed	NT=Propionamide;AC=UNIMOD:24;TA=K;PP=Any N-term;MT=variable	20 ppm	0.5 Da
Sample 1	Homo sapiens	breast	adult	breast adenocarcinoma	female	69Y	Caucasian	epithelial	MCF-7	1	cell	run 9	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	FL0026_RFI_261114_Deep_High_ET_F20F35_hybrid.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD003977/FL0026_RFI_261114_Deep_High_ET_F20F35_hybrid.raw	1	9	AC=MS:1001915;NT=leukocyte elastase	AC=MS:1001251;NT=Trypsin	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Deamidated;TA=N,Q;AC=UNIMOD:7;MT=variable	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=fixed	NT=Propionamide;AC=UNIMOD:24;TA=K;PP=Any N-term;MT=variable	20 ppm	0.5 Da
Sample 1	Homo sapiens	breast	adult	breast adenocarcinoma	female	69Y	Caucasian	epithelial	MCF-7	1	cell	run 10	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	FL0026_RFI_261114_Deep_High_ET_F21F36_hybrid.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD003977/FL0026_RFI_261114_Deep_High_ET_F21F36_hybrid.raw	1	10	AC=MS:1001915;NT=leukocyte elastase	AC=MS:1001251;NT=Trypsin	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Deamidated;TA=N,Q;AC=UNIMOD:7;MT=variable	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=fixed	NT=Propionamide;AC=UNIMOD:24;TA=K;PP=Any N-term;MT=variable	20 ppm	0.5 Da
