source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	assay name	comment[fraction identifier]	comment[technical replicate]	comment[Instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[data file]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]
PXD004556_Latte_Pecora_CTRL_10_VC_0001444	Ovis aries	Biological fluid milk, whey	not avalaible	not avalaible	CTRL_FRAC10	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	Latte_Pecora_CTRL_10_VC_0001444.mgf	NT=Trypsin (no P rule) (no P rule)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Fixed;TA=N-term;MM=42.010565	NT=Glu->pyro-Glu;AC=UNIMOD:27;CF=H(-2)O(-1);MT=Fixed;TA=E;MM=-18.010565	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Fixed;TA=Q;MM=-17.026549	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=S;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=T;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=Y;MM=79.966331	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Variable;TA=N-term;MM=42.010565	NT=Glu->pyro-Glu;AC=UNIMOD:27;CF=H(-2)O(-1);MT=Variable;TA=E;MM=-18.010565	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Variable;TA=Q;MM=-17.026549	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=S;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=T;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=Y;MM=79.966331
PXD004556_Latte_Pecora_CTRL_1_VC_0001433	Ovis aries	Biological fluid milk, whey	not avalaible	not avalaible	CTRL_FRAC1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	Latte_Pecora_CTRL_1_VC_0001433.mgf	NT=Trypsin (no P rule) (no P rule)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Fixed;TA=N-term;MM=42.010565	NT=Glu->pyro-Glu;AC=UNIMOD:27;CF=H(-2)O(-1);MT=Fixed;TA=E;MM=-18.010565	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Fixed;TA=Q;MM=-17.026549	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=S;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=T;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=Y;MM=79.966331	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Variable;TA=N-term;MM=42.010565	NT=Glu->pyro-Glu;AC=UNIMOD:27;CF=H(-2)O(-1);MT=Variable;TA=E;MM=-18.010565	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Variable;TA=Q;MM=-17.026549	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=S;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=T;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=Y;MM=79.966331
PXD004556_Latte_Pecora_CTRL_2_VC_0001434	Ovis aries	Biological fluid milk, whey	not avalaible	not avalaible	CTRL_FRAC2	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	Latte_Pecora_CTRL_2_VC_0001434.mgf	NT=Trypsin (no P rule) (no P rule)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Fixed;TA=N-term;MM=42.010565	NT=Glu->pyro-Glu;AC=UNIMOD:27;CF=H(-2)O(-1);MT=Fixed;TA=E;MM=-18.010565	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Fixed;TA=Q;MM=-17.026549	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=S;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=T;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=Y;MM=79.966331	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Variable;TA=N-term;MM=42.010565	NT=Glu->pyro-Glu;AC=UNIMOD:27;CF=H(-2)O(-1);MT=Variable;TA=E;MM=-18.010565	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Variable;TA=Q;MM=-17.026549	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=S;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=T;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=Y;MM=79.966331
PXD004556_Latte_Pecora_CTRL_3_VC_0001435	Ovis aries	Biological fluid milk, whey	not avalaible	not avalaible	CTRL_FRAC3	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	Latte_Pecora_CTRL_3_VC_0001435.mgf	NT=Trypsin (no P rule) (no P rule)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Fixed;TA=N-term;MM=42.010565	NT=Glu->pyro-Glu;AC=UNIMOD:27;CF=H(-2)O(-1);MT=Fixed;TA=E;MM=-18.010565	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Fixed;TA=Q;MM=-17.026549	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=S;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=T;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=Y;MM=79.966331	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Variable;TA=N-term;MM=42.010565	NT=Glu->pyro-Glu;AC=UNIMOD:27;CF=H(-2)O(-1);MT=Variable;TA=E;MM=-18.010565	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Variable;TA=Q;MM=-17.026549	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=S;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=T;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=Y;MM=79.966331
PXD004556_Latte_Pecora_CTRL_4_VC_0001436	Ovis aries	Biological fluid milk, whey	not avalaible	not avalaible	CTRL_FRAC4	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	Latte_Pecora_CTRL_4_VC_0001436.mgf	NT=Trypsin (no P rule) (no P rule)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Fixed;TA=N-term;MM=42.010565	NT=Glu->pyro-Glu;AC=UNIMOD:27;CF=H(-2)O(-1);MT=Fixed;TA=E;MM=-18.010565	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Fixed;TA=Q;MM=-17.026549	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=S;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=T;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=Y;MM=79.966331	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Variable;TA=N-term;MM=42.010565	NT=Glu->pyro-Glu;AC=UNIMOD:27;CF=H(-2)O(-1);MT=Variable;TA=E;MM=-18.010565	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Variable;TA=Q;MM=-17.026549	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=S;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=T;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=Y;MM=79.966331
PXD004556_Latte_Pecora_CTRL_5_VC_0001437	Ovis aries	Biological fluid milk, whey	not avalaible	not avalaible	CTRL_FRAC5	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	Latte_Pecora_CTRL_5_VC_0001437.mgf	NT=Trypsin (no P rule) (no P rule)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Fixed;TA=N-term;MM=42.010565	NT=Glu->pyro-Glu;AC=UNIMOD:27;CF=H(-2)O(-1);MT=Fixed;TA=E;MM=-18.010565	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Fixed;TA=Q;MM=-17.026549	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=S;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=T;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=Y;MM=79.966331	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Variable;TA=N-term;MM=42.010565	NT=Glu->pyro-Glu;AC=UNIMOD:27;CF=H(-2)O(-1);MT=Variable;TA=E;MM=-18.010565	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Variable;TA=Q;MM=-17.026549	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=S;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=T;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=Y;MM=79.966331
PXD004556_Latte_Pecora_CTRL_6_VC_0001440	Ovis aries	Biological fluid milk, whey	not avalaible	not avalaible	CTRL_FRAC6	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	Latte_Pecora_CTRL_6_VC_0001440.mgf	NT=Trypsin (no P rule) (no P rule)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Fixed;TA=N-term;MM=42.010565	NT=Glu->pyro-Glu;AC=UNIMOD:27;CF=H(-2)O(-1);MT=Fixed;TA=E;MM=-18.010565	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Fixed;TA=Q;MM=-17.026549	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=S;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=T;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=Y;MM=79.966331	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Variable;TA=N-term;MM=42.010565	NT=Glu->pyro-Glu;AC=UNIMOD:27;CF=H(-2)O(-1);MT=Variable;TA=E;MM=-18.010565	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Variable;TA=Q;MM=-17.026549	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=S;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=T;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=Y;MM=79.966331
PXD004556_Latte_Pecora_CTRL_7_VC_0001441	Ovis aries	Biological fluid milk, whey	not avalaible	not avalaible	CTRL_FRAC7	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	Latte_Pecora_CTRL_7_VC_0001441.mgf	NT=Trypsin (no P rule) (no P rule)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Fixed;TA=N-term;MM=42.010565	NT=Glu->pyro-Glu;AC=UNIMOD:27;CF=H(-2)O(-1);MT=Fixed;TA=E;MM=-18.010565	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Fixed;TA=Q;MM=-17.026549	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=S;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=T;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=Y;MM=79.966331	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Variable;TA=N-term;MM=42.010565	NT=Glu->pyro-Glu;AC=UNIMOD:27;CF=H(-2)O(-1);MT=Variable;TA=E;MM=-18.010565	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Variable;TA=Q;MM=-17.026549	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=S;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=T;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=Y;MM=79.966331
PXD004556_Latte_Pecora_CTRL_8_VC_0001442	Ovis aries	Biological fluid milk, whey	not avalaible	not avalaible	CTRL_FRAC8	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	Latte_Pecora_CTRL_8_VC_0001442.mgf	NT=Trypsin (no P rule) (no P rule)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Fixed;TA=N-term;MM=42.010565	NT=Glu->pyro-Glu;AC=UNIMOD:27;CF=H(-2)O(-1);MT=Fixed;TA=E;MM=-18.010565	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Fixed;TA=Q;MM=-17.026549	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=S;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=T;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=Y;MM=79.966331	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Variable;TA=N-term;MM=42.010565	NT=Glu->pyro-Glu;AC=UNIMOD:27;CF=H(-2)O(-1);MT=Variable;TA=E;MM=-18.010565	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Variable;TA=Q;MM=-17.026549	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=S;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=T;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=Y;MM=79.966331
PXD004556_Latte_Pecora_CTRL_9_VC_0001443	Ovis aries	Biological fluid milk, whey	not avalaible	not avalaible	CTRL_FRAC9	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	Latte_Pecora_CTRL_9_VC_0001443.mgf	NT=Trypsin (no P rule) (no P rule)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Fixed;TA=N-term;MM=42.010565	NT=Glu->pyro-Glu;AC=UNIMOD:27;CF=H(-2)O(-1);MT=Fixed;TA=E;MM=-18.010565	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Fixed;TA=Q;MM=-17.026549	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=S;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=T;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Fixed;TA=Y;MM=79.966331	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Variable;TA=N-term;MM=42.010565	NT=Glu->pyro-Glu;AC=UNIMOD:27;CF=H(-2)O(-1);MT=Variable;TA=E;MM=-18.010565	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Variable;TA=Q;MM=-17.026549	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=S;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=T;MM=79.966331	NT=Phospho;AC=UNIMOD:21;CF=H(1)O(3)P(1);MT=Variable;TA=Y;MM=79.966331
