source name	characteristics[organism]	characteristics[disease]	characteristics[organism part]	characteristics[organism part]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[cell line]	characteristics[cell type]	characteristics[depletion]	assay name	comment[technical replicate]	comment[fraction identifier]	comment[proteomexchange accession number]	comment[file URI]	comment[MS2 mass analyzer]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	Material Type	description	comment[Label]	comment[dissociation method]	comment[collision energy]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]	factor value[cell line]
Sample 1	homo sapiens	lung adenocarcinoma	lung	bronchiole	58Y	male	Caucasian	NCI-H522	epithelial	no depletion	run 1	1	1	PXD005946	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD005946/000261_H04_P0001563_A00_B00H_R1.RAW	NT=orbitrap;AC=MS:1000484	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	full proteome of 59 cell lines	AC=MS:1002038;NM=label free sample	NT=CID;AC=MS:1000133	not available	0.6 Da	20 ppm	000261_H04_P0001563_A00_B00H_R1.RAW	NCI-H522
Sample 1	homo sapiens	lung adenocarcinoma	lung	bronchiole	58Y	male	Caucasian	NCI-H522	epithelial	no depletion	run 2	2	1	PXD005946	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD005946/000261_B04_P0001563_A00_B00B_R1.RAW	NT=orbitrap;AC=MS:1000484	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	full proteome of 59 cell lines	AC=MS:1002038;NM=label free sample	NT=CID;AC=MS:1000133	not available	0.6 Da	20 ppm	000261_B04_P0001563_A00_B00B_R1.RAW	NCI-H522
Sample 1	homo sapiens	lung adenocarcinoma	lung	bronchiole	58Y	male	Caucasian	NCI-H522	epithelial	no depletion	run 3	3	1	PXD005946	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD005946/000261_C04_P0001563_A00_B00C_R1.RAW	NT=orbitrap;AC=MS:1000484	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	full proteome of 59 cell lines	AC=MS:1002038;NM=label free sample	NT=CID;AC=MS:1000133	not available	0.6 Da	20 ppm	000261_C04_P0001563_A00_B00C_R1.RAW	NCI-H522
Sample 1	homo sapiens	lung adenocarcinoma	lung	bronchiole	58Y	male	Caucasian	NCI-H522	epithelial	no depletion	run 4	4	1	PXD005946	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD005946/000261_B05_P0001563_A00_B00J_R1.RAW	NT=orbitrap;AC=MS:1000484	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	full proteome of 59 cell lines	AC=MS:1002038;NM=label free sample	NT=CID;AC=MS:1000133	not available	0.6 Da	20 ppm	000261_B05_P0001563_A00_B00J_R1.RAW	NCI-H522
Sample 1	homo sapiens	lung adenocarcinoma	lung	bronchiole	58Y	male	Caucasian	NCI-H522	epithelial	no depletion	run 5	5	1	PXD005946	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD005946/000261_C05_P0001563_A00_B00K_R1.RAW	NT=orbitrap;AC=MS:1000484	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	full proteome of 59 cell lines	AC=MS:1002038;NM=label free sample	NT=CID;AC=MS:1000133	not available	0.6 Da	20 ppm	000261_C05_P0001563_A00_B00K_R1.RAW	NCI-H522
Sample 1	homo sapiens	lung adenocarcinoma	lung	bronchiole	58Y	male	Caucasian	NCI-H522	epithelial	no depletion	run 6	6	1	PXD005946	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD005946/000261_F04_P0001563_A00_B00F_R1.RAW	NT=orbitrap;AC=MS:1000484	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	full proteome of 59 cell lines	AC=MS:1002038;NM=label free sample	NT=CID;AC=MS:1000133	not available	0.6 Da	20 ppm	000261_F04_P0001563_A00_B00F_R1.RAW	NCI-H522
Sample 1	homo sapiens	lung adenocarcinoma	lung	bronchiole	58Y	male	Caucasian	NCI-H522	epithelial	no depletion	run 7	7	1	PXD005946	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD005946/000261_G04_P0001563_A00_B00G_R1.RAW	NT=orbitrap;AC=MS:1000484	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	full proteome of 59 cell lines	AC=MS:1002038;NM=label free sample	NT=CID;AC=MS:1000133	not available	0.6 Da	20 ppm	000261_G04_P0001563_A00_B00G_R1.RAW	NCI-H522
Sample 1	homo sapiens	lung adenocarcinoma	lung	bronchiole	58Y	male	Caucasian	NCI-H522	epithelial	no depletion	run 8	8	1	PXD005946	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD005946/000261_D04_P0001563_A00_B00D_R1.RAW	NT=orbitrap;AC=MS:1000484	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	full proteome of 59 cell lines	AC=MS:1002038;NM=label free sample	NT=CID;AC=MS:1000133	not available	0.6 Da	20 ppm	000261_D04_P0001563_A00_B00D_R1.RAW	NCI-H522
Sample 1	homo sapiens	lung adenocarcinoma	lung	bronchiole	58Y	male	Caucasian	NCI-H522	epithelial	no depletion	run 9	9	1	PXD005946	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD005946/000261_A05_P0001563_A00_B00I_R1.RAW	NT=orbitrap;AC=MS:1000484	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	full proteome of 59 cell lines	AC=MS:1002038;NM=label free sample	NT=CID;AC=MS:1000133	not available	0.6 Da	20 ppm	000261_A05_P0001563_A00_B00I_R1.RAW	NCI-H522
Sample 1	homo sapiens	lung adenocarcinoma	lung	bronchiole	58Y	male	Caucasian	NCI-H522	epithelial	no depletion	run 10	10	1	PXD005946	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD005946/000261_D05_P0001563_A00_B00L_R1.RAW	NT=orbitrap;AC=MS:1000484	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	cell	full proteome of 59 cell lines	AC=MS:1002038;NM=label free sample	NT=CID;AC=MS:1000133	not available	0.6 Da	20 ppm	000261_D05_P0001563_A00_B00L_R1.RAW	NCI-H522
