source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[sex]	characteristics[cell type]	characteristics[disease]	characteristics[individual]	characteristics[developmental stage]	characteristics[ancestry category]	characteristics[biological replicate]	material type	assay name	technology type	comment[label]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[file uri]	comment[data file]
Sample 1	Homo sapiens	liver	not available	not available	not available	Hepatocellular carcinoma	not available	not available	not available	1	tissue	run 1	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC= MS:1002416;NT=Orbitrap Fusion	1	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	20 ppm	4.5 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD006512/20141024_liver_12299_A_01.raw	20141024_liver_12299_A_01.raw
Sample 1	Homo sapiens	liver	not available	not available	not available	Hepatocellular carcinoma	not available	not available	not available	1	tissue	run 2	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC= MS:1002416;NT=Orbitrap Fusion	2	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	20 ppm	4.5 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD006512/20141024_liver_12299_A_02.raw	20141024_liver_12299_A_02.raw
Sample 1	Homo sapiens	liver	not available	not available	not available	Hepatocellular carcinoma	not available	not available	not available	1	tissue	run 3	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC= MS:1002416;NT=Orbitrap Fusion	3	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	20 ppm	4.5 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD006512/20141024_liver_12299_A_03.raw	20141024_liver_12299_A_03.raw
Sample 1	Homo sapiens	liver	not available	not available	not available	Hepatocellular carcinoma	not available	not available	not available	1	tissue	run 4	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC= MS:1002416;NT=Orbitrap Fusion	4	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	20 ppm	4.5 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD006512/20141024_liver_12299_A_04.raw	20141024_liver_12299_A_04.raw
Sample 1	Homo sapiens	liver	not available	not available	not available	Hepatocellular carcinoma	not available	not available	not available	1	tissue	run 5	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC= MS:1002416;NT=Orbitrap Fusion	5	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	20 ppm	4.5 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD006512/20141024_liver_12299_A_05.raw	20141024_liver_12299_A_05.raw
Sample 1	Homo sapiens	liver	not available	not available	not available	Hepatocellular carcinoma	not available	not available	not available	1	tissue	run 6	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC= MS:1002416;NT=Orbitrap Fusion	6	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	20 ppm	4.5 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD006512/20141024_liver_12299_A_06.raw	20141024_liver_12299_A_06.raw
Sample 2	Homo sapiens	liver	not available	not available	not available	Hepatocellular carcinoma	not available	not available	not available	1	tissue	run 7	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC= MS:1002416;NT=Orbitrap Fusion	1	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	20 ppm	4.5 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD006512/20141025_liver_12299_B_01.raw	20141025_liver_12299_B_01.raw
Sample 2	Homo sapiens	liver	not available	not available	not available	Hepatocellular carcinoma	not available	not available	not available	1	tissue	run 8	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC= MS:1002416;NT=Orbitrap Fusion	2	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	20 ppm	4.5 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD006512/20141025_liver_12299_B_02.raw	20141025_liver_12299_B_02.raw
Sample 2	Homo sapiens	liver	not available	not available	not available	Hepatocellular carcinoma	not available	not available	not available	1	tissue	run 9	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC= MS:1002416;NT=Orbitrap Fusion	3	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	20 ppm	4.5 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD006512/20141025_liver_12299_B_03.raw	20141025_liver_12299_B_03.raw
Sample 2	Homo sapiens	liver	not available	not available	not available	Hepatocellular carcinoma	not available	not available	not available	1	tissue	run 10	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC= MS:1002416;NT=Orbitrap Fusion	4	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	20 ppm	4.5 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD006512/20141025_liver_12299_B_04.raw	20141025_liver_12299_B_04.raw
