source name	characteristics[organism]	characteristics[strain]	characteristics[organism part]	characteristics[cell type]	characteristics[growth condition]	characteristics[disease]	assay name	Technology Type	comment[data file]	comment[fraction identifier]	comment[label]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]
Sample 1	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	not applicable	Run 1	proteomic profiling by mass spectrometry	Lana-SILAC-1.raw	1	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	not applicable	Run 2	proteomic profiling by mass spectrometry	Lana-SILAC-2.raw	2	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	not applicable	Run 3	proteomic profiling by mass spectrometry	Lana-SILAC-3.raw	3	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	not applicable	Run 4	proteomic profiling by mass spectrometry	Lana-SILAC-4.raw	4	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	not applicable	Run 5	proteomic profiling by mass spectrometry	Lana-SILAC-5.raw	5	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	not applicable	Run 6	proteomic profiling by mass spectrometry	Lana-SILAC-6.raw	6	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	not applicable	Run 7	proteomic profiling by mass spectrometry	Lana-SILAC-7.raw	7	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	not applicable	Run 8	proteomic profiling by mass spectrometry	Lana-SILAC-8.raw	8	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	not applicable	Run 9	proteomic profiling by mass spectrometry	Lana-SILAC-9.raw	9	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2	LM08	Whole organism	prokaryotic cell	control	not applicable	Run 10	proteomic profiling by mass spectrometry	Lana-SILAC-10.raw	10	SILAC light K:12C(6)14N(2)	SILAC light R:12C(6)14N(4)	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6);AC=UNIMOD:259;TA=R;MT=Variable	NT=HCD;AC=MS:1002481	27% NCE
