source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[disease]	characteristics[biological replicate]	characteristics[material type]	assay name	technology type	comment[label]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	comment[cleavage agent details]	comment[cleavage agent details].1	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[file uri]	comment[proteomics data acquisition method]	comment[data file]	comment[sdrf version]	comment[sdrf template]
Sample 1	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not available	not available	not applicable	not applicable	not applicable	1	tissue	run 1	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140917_Q1_SA_YaAt_exp3_2i_FCS-Epi_8A.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	20140917_Q1_SA_YaAt_exp3_2i_FCS-Epi_8A.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 2	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not available	not available	not applicable	not applicable	not applicable	1	tissue	run 2	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_10A.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_10A.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 2	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not available	not available	not applicable	not applicable	not applicable	1	tissue	run 3	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_10B.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_10B.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 2	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not available	not available	not applicable	not applicable	not applicable	1	tissue	run 4	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_10C.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_10C.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 3	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not available	not available	not applicable	not applicable	not applicable	1	tissue	run 5	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_11A.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_11A.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 3	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not available	not available	not applicable	not applicable	not applicable	1	tissue	run 6	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_11B.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_11B.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 3	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not available	not available	not applicable	not applicable	not applicable	1	tissue	run 7	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_11C.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_11C.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 4	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not available	not available	not applicable	not applicable	not applicable	1	tissue	run 8	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_7A.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_7A.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 4	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not available	not available	not applicable	not applicable	not applicable	1	tissue	run 9	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_7B.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_7B.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 4	Mus musculus	not applicable	Embryonic stem cell	E14Tg2a	not available	not available	not applicable	not applicable	not applicable	1	tissue	run 10	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_7C.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_7C.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
