Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[strain]	Characteristics[age]	Characteristics[sex]	Characteristics[developmental stage]	Characteristics[individual]	assay name	comment[label]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[file uri]	comment[data file]	Material Type
Sample 1	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 1	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140917_Q1_SA_YaAt_exp3_2i_FCS-Epi_8A.raw	20140917_Q1_SA_YaAt_exp3_2i_FCS-Epi_8A.raw	tissue
Sample 2	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 2	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_10A.raw	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_10A.raw	tissue
Sample 2	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 3	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_10B.raw	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_10B.raw	tissue
Sample 2	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 4	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_10C.raw	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_10C.raw	tissue
Sample 3	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 5	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_11A.raw	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_11A.raw	tissue
Sample 3	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 6	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_11B.raw	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_11B.raw	tissue
Sample 3	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 7	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_11C.raw	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_11C.raw	tissue
Sample 4	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 8	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_7A.raw	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_7A.raw	tissue
Sample 4	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 9	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	2	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_7B.raw	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_7B.raw	tissue
Sample 4	Mus musculus	Embryonic stem cell	not available	not available	not available	not available	not available	run 10	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=orbitrap	1	3	not available	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	not available	20 ppm	4.5 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD014528/20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_7C.raw	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_7C.raw	tissue
