source name	characteristics[Organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	assay name	comment[label]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[file uri]	comment[data file]	Material Type	factor value[bait]	factor value[senescence]	factor value[RNase]
1	Saccharomyces cerevisiae	not available	not available	not applicable	run 1	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	20 ppm	0.02 Da	NT=Lys-C/P;AC=MS_1001310	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD016772/20160607_QEP2_FBU_LP_188_tlc10_telo.raw	20160607_QEP2_FBU_LP_188_tlc10_telo.raw	lysate	telo	senescent	untreated
2	Saccharomyces cerevisiae	not available	not available	not applicable	run 2	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	20 ppm	0.02 Da	NT=Lys-C/P;AC=MS_1001310	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD016772/20160607_QEP2_FBU_LP_189_tlc10_control.raw	20160607_QEP2_FBU_LP_189_tlc10_control.raw	lysate	control	senescent	untreated
3	Saccharomyces cerevisiae	not available	not available	not applicable	run 3	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	20 ppm	0.02 Da	NT=Lys-C/P;AC=MS_1001310	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD016772/20160607_QEP2_FBU_LP_190_tlc10_telo.raw	20160607_QEP2_FBU_LP_190_tlc10_telo.raw	lysate	telo	senescent	untreated
4	Saccharomyces cerevisiae	not available	not available	not applicable	run 4	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	20 ppm	0.02 Da	NT=Lys-C/P;AC=MS_1001310	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD016772/20160607_QEP2_FBU_LP_191_tlc10_control.raw	20160607_QEP2_FBU_LP_191_tlc10_control.raw	lysate	control	senescent	untreated
5	Saccharomyces cerevisiae	not available	not available	not applicable	run 5	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	20 ppm	0.02 Da	NT=Lys-C/P;AC=MS_1001310	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD016772/20160607_QEP2_FBU_LP_192_tlc12_telo.raw	20160607_QEP2_FBU_LP_192_tlc12_telo.raw	lysate	telo	senescent	untreated
6	Saccharomyces cerevisiae	not available	not available	not applicable	run 6	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	20 ppm	0.02 Da	NT=Lys-C/P;AC=MS_1001310	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD016772/20160607_QEP2_FBU_LP_193_tlc12_control.raw	20160607_QEP2_FBU_LP_193_tlc12_control.raw	lysate	control	senescent	untreated
7	Saccharomyces cerevisiae	not available	not available	not applicable	run 7	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	20 ppm	0.02 Da	NT=Lys-C/P;AC=MS_1001310	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD016772/20160607_QEP2_FBU_LP_194_tlc12_telo.raw	20160607_QEP2_FBU_LP_194_tlc12_telo.raw	lysate	telo	senescent	untreated
8	Saccharomyces cerevisiae	not available	not available	not applicable	run 8	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	20 ppm	0.02 Da	NT=Lys-C/P;AC=MS_1001310	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD016772/20160607_QEP2_FBU_LP_195_tlc12_control.raw	20160607_QEP2_FBU_LP_195_tlc12_control.raw	lysate	control	senescent	untreated
9	Saccharomyces cerevisiae	not available	not available	not applicable	run 9	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	20 ppm	0.02 Da	NT=Lys-C/P;AC=MS_1001310	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD016772/20160715_QEP2_FBU_LP_292.raw	20160715_QEP2_FBU_LP_292.raw	lysate	telo	nonsenescent	untreated
10	Saccharomyces cerevisiae	not available	not available	not applicable	run 10	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	20 ppm	0.02 Da	NT=Lys-C/P;AC=MS_1001310	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD016772/20160715_QEP2_FBU_LP_293.raw	20160715_QEP2_FBU_LP_293.raw	lysate	control	nonsenescent	untreated
