Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[developmental stage]	Characteristics[age]	Characteristics[disease]	Characteristics[cell line]	assay name	comment[fraction identifier]	comment[label]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[file uri]	comment[data file]	Material Type	Factor Value[disease]
Sample 1	Cercopithecus aethiops	kidney	not available	not available	SARS-CoV-2	Vero E6	run 1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	10 ppm	0.6 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Chymotrypsin;AC=MS:1001306	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018241/020320_FeNTA_phospho.raw	020320_FeNTA_phospho.raw	cell	SARS-CoV-2
Sample 2	Cercopithecus aethiops	kidney	not available	not available	SARS-CoV-2	Vero E6	run 2	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	10 ppm	0.6 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Chymotrypsin;AC=MS:1001306	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018241/020320_TiO2_Phospho.raw	020320_TiO2_Phospho.raw	cell	SARS-CoV-2
Sample 3	Cercopithecus aethiops	kidney	not available	not available	SARS-CoV-2	Vero E6	run 3	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	10 ppm	0.6 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Chymotrypsin;AC=MS:1001306	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	not available	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018241/020320_Total_1.raw	020320_Total_1.raw	cell	SARS-CoV-2
Sample 3	Cercopithecus aethiops	kidney	not available	not available	SARS-CoV-2	Vero E6	run 4	10	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	10 ppm	0.6 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Chymotrypsin;AC=MS:1001306	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	not available	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018241/020320_Total_10.raw	020320_Total_10.raw	cell	SARS-CoV-2
Sample 3	Cercopithecus aethiops	kidney	not available	not available	SARS-CoV-2	Vero E6	run 5	11	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	10 ppm	0.6 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Chymotrypsin;AC=MS:1001306	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	not available	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018241/020320_Total_11.raw	020320_Total_11.raw	cell	SARS-CoV-2
Sample 3	Cercopithecus aethiops	kidney	not available	not available	SARS-CoV-2	Vero E6	run 6	12	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	10 ppm	0.6 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Chymotrypsin;AC=MS:1001306	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	not available	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018241/020320_Total_12.raw	020320_Total_12.raw	cell	SARS-CoV-2
Sample 3	Cercopithecus aethiops	kidney	not available	not available	SARS-CoV-2	Vero E6	run 7	13	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	10 ppm	0.6 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Chymotrypsin;AC=MS:1001306	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	not available	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018241/020320_Total_13.raw	020320_Total_13.raw	cell	SARS-CoV-2
Sample 3	Cercopithecus aethiops	kidney	not available	not available	SARS-CoV-2	Vero E6	run 8	14	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	10 ppm	0.6 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Chymotrypsin;AC=MS:1001306	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	not available	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018241/020320_Total_14.raw	020320_Total_14.raw	cell	SARS-CoV-2
Sample 3	Cercopithecus aethiops	kidney	not available	not available	SARS-CoV-2	Vero E6	run 9	15	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	10 ppm	0.6 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Chymotrypsin;AC=MS:1001306	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	not available	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018241/020320_Total_15.raw	020320_Total_15.raw	cell	SARS-CoV-2
Sample 3	Cercopithecus aethiops	kidney	not available	not available	SARS-CoV-2	Vero E6	run 10	16	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	10 ppm	0.6 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Chymotrypsin;AC=MS:1001306	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	not available	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018241/020320_Total_16.raw	020320_Total_16.raw	cell	SARS-CoV-2
