source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[pathotype]	characteristics[disease]	characteristics[cell type]	characteristics[treatment]	characteristics[biological replicate]	characteristics[medium]	characteristics[pressure]	characteristics[medium supplements]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters].1	comment[modification parameters].2	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[dissociation method]	comment[collision energy]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	factor value[treatment]
Control 1	Escherichia coli	Cell lysate	Not available	APEC	Not applicable	Prokaryotic cell	Control	1	LB medium	37°C	Not available	Run 1	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	P20200701485_CONTROL_1.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin;AC=1001251	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	20 ppm	6 ppm	DTT	IAA	NT=HCD; AC=MS:1002481	30 eV	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD025706/P20200701485_CONTROL_1.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	Control
Control 2	Escherichia coli	Cell lysate	Not available	APEC	Not applicable	Prokaryotic cell	Control	2	LB medium	37°C	Not available	Run 2	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	P20200701485_CONTROL_2.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin;AC=1001251	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	20 ppm	6 ppm	DTT	IAA	NT=HCD; AC=MS:1002481	30 eV	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD025706/P20200701485_CONTROL_2.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	Control
Control 3	Escherichia coli	Cell lysate	Not available	APEC	Not applicable	Prokaryotic cell	Control	3	LB medium	37°C	Not available	Run 3	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	P20200701485_CONTROL_3.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin;AC=1001251	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	20 ppm	6 ppm	DTT	IAA	NT=HCD; AC=MS:1002481	30 eV	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD025706/P20200701485_CONTROL_3.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	Control
Treat 1	Escherichia coli	Cell lysate	Not available	APEC	Not applicable	Prokaryotic cell	Resveratrol	1	LB medium	37°C	Resveratrol	Run 4	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	P20200701485_TREAT_1.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin;AC=1001251	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	20 ppm	6 ppm	DTT	IAA	NT=HCD; AC=MS:1002481	30 eV	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD025706/P20200701485_TREAT_1.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	Resveratrol
Treat 2	Escherichia coli	Cell lysate	Not available	APEC	Not applicable	Prokaryotic cell	Resveratrol	2	LB medium	37°C	Resveratrol	Run 5	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	P20200701485_TREAT_2.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin;AC=1001251	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	20 ppm	6 ppm	DTT	IAA	NT=HCD; AC=MS:1002481	30 eV	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD025706/P20200701485_TREAT_2.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	Resveratrol
Treat 3	Escherichia coli	Cell lysate	Not available	APEC	Not applicable	Prokaryotic cell	Resveratrol	3	LB medium	37°C	Resveratrol	Run 6	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	P20200701485_TREAT_3.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin;AC=1001251	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	20 ppm	6 ppm	DTT	IAA	NT=HCD; AC=MS:1002481	30 eV	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD025706/P20200701485_TREAT_3.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	Resveratrol
Control 1 PRM	Escherichia coli	Cell lysate	Not available	APEC	Not applicable	Prokaryotic cell	Control	1	LB medium	37°C	Not available	Run 7	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	P20201002962_PRM_control-1.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	Not available	Not available	Not available	Not available	NT=HCD; AC=MS:1002481	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD025706/P20201002962_PRM_control-1.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	Control
Control 2 PRM	Escherichia coli	Cell lysate	Not available	APEC	Not applicable	Prokaryotic cell	Control	2	LB medium	37°C	Not available	Run 8	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	P20201002962_PRM_control-2.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	Not available	Not available	Not available	Not available	NT=HCD; AC=MS:1002481	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD025706/P20201002962_PRM_control-2.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	Control
Control 3 PRM	Escherichia coli	Cell lysate	Not available	APEC	Not applicable	Prokaryotic cell	Control	3	LB medium	37°C	Not available	Run 9	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	P20201002962_PRM_control-3.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	Not available	Not available	Not available	Not available	NT=HCD; AC=MS:1002481	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD025706/P20201002962_PRM_control-3.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	Control
Treat 1 PRM	Escherichia coli	Cell lysate	Not available	APEC	Not applicable	Prokaryotic cell	Resveratrol	1	LB medium	37°C	Resveratrol	Run 10	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	P20201002962_PRM_treat-1.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	Not available	Not available	Not available	Not available	NT=HCD; AC=MS:1002481	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD025706/P20201002962_PRM_treat-1.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	Resveratrol
