source name	characteristics[age]	characteristics[ancestry category]	characteristics[biological replicate]	characteristics[cell type]	characteristics[compound]	characteristics[developmental stage]	characteristics[disease]	characteristics[enrichment process]	characteristics[individual]	characteristics[organism part]	characteristics[organism]	characteristics[sex]	assay name	technology type	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[data file]	comment[fraction identifier]	comment[fragment mass tolerance]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters].1	comment[modification parameters].2	comment[modification parameters].3	comment[precursor mass tolerance]	comment[technical replicate]	comment[tool metadata]	comment[sdrf version]	comment[sdrf template]
214	Not available	Not available	1	not applicable	Trametinib	Not applicable	Not applicable	enrichment of phosphorylated protein	1	brain	Mus musculus	female	Run 1	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Data-dependent acquisition;AC=PRIDE:0000627	QX32029GM	1	20 ppm	Q Exactive HF-X	label free sample	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=['C']	NT=Acetyl;AC=Unimod:1;MT=Variable;PP=Protein N-term;TA=[]	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=['M']	NT=Phospho;AC=Unimod:21;MT=Variable;PP=Anywhere;TA=S,Y,T	4.5 ppm	1	lesSDRF v0.1.0	v1.1.0	NT=ms-proteomics;VV=v1.1.0
226	Not available	Not available	2	not applicable	Vehicle	Not applicable	Not applicable	enrichment of phosphorylated protein	2	brain	Mus musculus	female	Run 2	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Data-dependent acquisition;AC=PRIDE:0000627	QX32032GM	1	20 ppm	Q Exactive HF-X	label free sample	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=['C']	NT=Acetyl;AC=Unimod:1;MT=Variable;PP=Protein N-term;TA=[]	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=['M']	NT=Phospho;AC=Unimod:21;MT=Variable;PP=Anywhere;TA=S,Y,T	4.5 ppm	1	lesSDRF v0.1.0	v1.1.0	NT=ms-proteomics;VV=v1.1.0
229	Not available	Not available	3	not applicable	Trametinib	Not applicable	Not applicable	enrichment of phosphorylated protein	3	brain	Mus musculus	female	Run 3	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Data-dependent acquisition;AC=PRIDE:0000627	QX32035GM	1	20 ppm	Q Exactive HF-X	label free sample	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=['C']	NT=Acetyl;AC=Unimod:1;MT=Variable;PP=Protein N-term;TA=[]	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=['M']	NT=Phospho;AC=Unimod:21;MT=Variable;PP=Anywhere;TA=S,Y,T	4.5 ppm	1	lesSDRF v0.1.0	v1.1.0	NT=ms-proteomics;VV=v1.1.0
221	Not available	Not available	4	not applicable	Vehicle	Not applicable	Not applicable	enrichment of phosphorylated protein	4	brain	Mus musculus	male	Run 4	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Data-dependent acquisition;AC=PRIDE:0000627	QX32038GM	1	20 ppm	Q Exactive HF-X	label free sample	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=['C']	NT=Acetyl;AC=Unimod:1;MT=Variable;PP=Protein N-term;TA=[]	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=['M']	NT=Phospho;AC=Unimod:21;MT=Variable;PP=Anywhere;TA=S,Y,T	4.5 ppm	1	lesSDRF v0.1.0	v1.1.0	NT=ms-proteomics;VV=v1.1.0
459	Not available	Not available	5	not applicable	Trametinib	Not applicable	Not applicable	enrichment of phosphorylated protein	5	brain	Mus musculus	female	Run 5	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Data-dependent acquisition;AC=PRIDE:0000627	QX32041GM	1	20 ppm	Q Exactive HF-X	label free sample	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=['C']	NT=Acetyl;AC=Unimod:1;MT=Variable;PP=Protein N-term;TA=[]	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=['M']	NT=Phospho;AC=Unimod:21;MT=Variable;PP=Anywhere;TA=S,Y,T	4.5 ppm	1	lesSDRF v0.1.0	v1.1.0	NT=ms-proteomics;VV=v1.1.0
322	Not available	Not available	6	not applicable	Trametinib	Not applicable	Not applicable	enrichment of phosphorylated protein	6	brain	Mus musculus	female	Run 6	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Data-dependent acquisition;AC=PRIDE:0000627	QX32044GM	1	20 ppm	Q Exactive HF-X	label free sample	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=['C']	NT=Acetyl;AC=Unimod:1;MT=Variable;PP=Protein N-term;TA=[]	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=['M']	NT=Phospho;AC=Unimod:21;MT=Variable;PP=Anywhere;TA=S,Y,T	4.5 ppm	1	lesSDRF v0.1.0	v1.1.0	NT=ms-proteomics;VV=v1.1.0
223	Not available	Not available	7	not applicable	Vehicle	Not applicable	Not applicable	enrichment of phosphorylated protein	7	brain	Mus musculus	male	Run 7	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Data-dependent acquisition;AC=PRIDE:0000627	QX32047GM	1	20 ppm	Q Exactive HF-X	label free sample	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=['C']	NT=Acetyl;AC=Unimod:1;MT=Variable;PP=Protein N-term;TA=[]	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=['M']	NT=Phospho;AC=Unimod:21;MT=Variable;PP=Anywhere;TA=S,Y,T	4.5 ppm	1	lesSDRF v0.1.0	v1.1.0	NT=ms-proteomics;VV=v1.1.0
460	Not available	Not available	8	not applicable	Trametinib	Not applicable	Not applicable	enrichment of phosphorylated protein	8	brain	Mus musculus	female	Run 8	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Data-dependent acquisition;AC=PRIDE:0000627	QX32050GM	1	20 ppm	Q Exactive HF-X	label free sample	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=['C']	NT=Acetyl;AC=Unimod:1;MT=Variable;PP=Protein N-term;TA=[]	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=['M']	NT=Phospho;AC=Unimod:21;MT=Variable;PP=Anywhere;TA=S,Y,T	4.5 ppm	1	lesSDRF v0.1.0	v1.1.0	NT=ms-proteomics;VV=v1.1.0
234	Not available	Not available	9	not applicable	Vehicle	Not applicable	Not applicable	enrichment of phosphorylated protein	9	brain	Mus musculus	male	Run 9	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Data-dependent acquisition;AC=PRIDE:0000627	QX32053GM	1	20 ppm	Q Exactive HF-X	label free sample	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=['C']	NT=Acetyl;AC=Unimod:1;MT=Variable;PP=Protein N-term;TA=[]	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=['M']	NT=Phospho;AC=Unimod:21;MT=Variable;PP=Anywhere;TA=S,Y,T	4.5 ppm	1	lesSDRF v0.1.0	v1.1.0	NT=ms-proteomics;VV=v1.1.0
323	Not available	Not available	10	not applicable	Trametinib	Not applicable	Not applicable	enrichment of phosphorylated protein	10	brain	Mus musculus	male	Run 10	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Data-dependent acquisition;AC=PRIDE:0000627	QX32056GM	1	20 ppm	Q Exactive HF-X	label free sample	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=['C']	NT=Acetyl;AC=Unimod:1;MT=Variable;PP=Protein N-term;TA=[]	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=['M']	NT=Phospho;AC=Unimod:21;MT=Variable;PP=Anywhere;TA=S,Y,T	4.5 ppm	1	lesSDRF v0.1.0	v1.1.0	NT=ms-proteomics;VV=v1.1.0
