source name	characteristics[sample name]	characteristics[project name]	characteristics[organism]	characteristics[organism part]	characteristics[environmental sample type]	characteristics[soil type]	characteristics[land use]	characteristics[geographic location]	characteristics[environmental medium]	characteristics[depth]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[technical replicate]	comment[data file]	factor value[land use]
PXD003572-Site1	PXD003572-Site1	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	bare soil with erosion	Southeast Spain	soil	20 cm	1	141128_NJ_FB_1	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_1.raw	bare soil with erosion
PXD003572-Site1	PXD003572-Site1	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	bare soil with erosion	Southeast Spain	soil	20 cm	2	141128_NJ_FB_2	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_2.raw	bare soil with erosion
PXD003572-Site1	PXD003572-Site1	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	bare soil with erosion	Southeast Spain	soil	20 cm	3	150109_NJ_FB_3	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	150109_NJ_FB_3.raw	bare soil with erosion
PXD003572-Site2	PXD003572-Site2	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	degraded shrubland	Southeast Spain	soil	20 cm	1	141128_NJ_FB_4	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_4.raw	degraded shrubland
PXD003572-Site2	PXD003572-Site2	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	degraded shrubland	Southeast Spain	soil	20 cm	2	141128_NJ_FB_5	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_5.raw	degraded shrubland
PXD003572-Site2	PXD003572-Site2	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	degraded shrubland	Southeast Spain	soil	20 cm	3	141128_NJ_FB_6	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_6.raw	degraded shrubland
PXD003572-Site3	PXD003572-Site3	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	sparse shrubland	Southeast Spain	soil	20 cm	1	141128_NJ_FB_7	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_7.raw	sparse shrubland
PXD003572-Site3	PXD003572-Site3	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	sparse shrubland	Southeast Spain	soil	20 cm	2	150109_NJ_FB_8	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	150109_NJ_FB_8.raw	sparse shrubland
PXD003572-Site3	PXD003572-Site3	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	sparse shrubland	Southeast Spain	soil	20 cm	3	141128_NJ_FB_9	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_9.raw	sparse shrubland
PXD003572-Site4	PXD003572-Site4	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	degraded grassland	Southeast Spain	soil	20 cm	1	150109_NJ_FB_10	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	150109_NJ_FB_10.raw	degraded grassland
