source name	characteristics[organism]	characteristics[organism part]	characteristics[environmental sample type]	characteristics[water body type]	characteristics[geographic location]	characteristics[environmental medium]	characteristics[depth]	characteristics[sampling depth zone]	characteristics[collection date]	characteristics[sample collection method]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[technical replicate]	comment[data file]	factor value[depth]
PXD009712-St12-40m	marine metagenome	not applicable	seawater	Pacific Ocean	8.00S 174.00W	seawater	40 m	epipelagic	2011-10	in situ filtration 0.2-3.0 um	1	st12_040m_CID	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	1	st12_040m_CID.raw	40 m
PXD009712-St12-40m	marine metagenome	not applicable	seawater	Pacific Ocean	8.00S 174.00W	seawater	40 m	epipelagic	2011-10	in situ filtration 0.2-3.0 um	1	st12_040m_HCD	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	2	st12_040m_HCD.raw	40 m
PXD009712-St12-120m	marine metagenome	not applicable	seawater	Pacific Ocean	8.00S 174.00W	seawater	120 m	mesopelagic transition	2011-10	in situ filtration 0.2-3.0 um	1	st12_120m_CID	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	1	st12_120m_CID.raw	120 m
PXD009712-St12-120m	marine metagenome	not applicable	seawater	Pacific Ocean	8.00S 174.00W	seawater	120 m	mesopelagic transition	2011-10	in situ filtration 0.2-3.0 um	1	st12_120m_HCD	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	2	st12_120m_HCD.raw	120 m
PXD009712-St12-300m	marine metagenome	not applicable	seawater	Pacific Ocean	8.00S 174.00W	seawater	300 m	mesopelagic	2011-10	in situ filtration 0.2-3.0 um	1	st12_300m_CID	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	1	st12_300m_CID.raw	300 m
PXD009712-St12-300m	marine metagenome	not applicable	seawater	Pacific Ocean	8.00S 174.00W	seawater	300 m	mesopelagic	2011-10	in situ filtration 0.2-3.0 um	1	st12_300m_HCD	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	2	st12_300m_HCD.raw	300 m
PXD009712-St1-50m	marine metagenome	not applicable	seawater	Pacific Ocean	22.75N 158.00W	seawater	50 m	epipelagic	2011-10	in situ filtration 0.2-3.0 um	1	st1_050m_CID	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	1	st1_050m_CID.raw	50 m
PXD009712-St1-50m	marine metagenome	not applicable	seawater	Pacific Ocean	22.75N 158.00W	seawater	50 m	epipelagic	2011-10	in situ filtration 0.2-3.0 um	1	st1_050m_HCD	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	2	st1_050m_HCD.raw	50 m
PXD009712-St1-90m	marine metagenome	not applicable	seawater	Pacific Ocean	22.75N 158.00W	seawater	90 m	mesopelagic transition	2011-10	in situ filtration 0.2-3.0 um	1	st1_090m_CID	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	1	st1_090m_CID.raw	90 m
PXD009712-St1-90m	marine metagenome	not applicable	seawater	Pacific Ocean	22.75N 158.00W	seawater	90 m	mesopelagic transition	2011-10	in situ filtration 0.2-3.0 um	1	st1_090m_HCD	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	2	st1_090m_HCD.raw	90 m
