MAGE-TAB Version	1.1			
Investigation Title	A deep proteome and transcriptome abundance atlas of 29 healthy human tissues			
Experiment Description	We generated a systematic, quantitative and deep proteome and transcriptome abundance atlas from 29 paired healthy human to serve as a molecular baseline to study human biology.			
Experimental Design	organism part comparison design			
Experimental Design Term Source REF	EFO			
Experimental Design Term Accession Number	EFO:0001750			
Experimental Factor Name	organism part	individual		
Experimental Factor Type	organism part	individual		
Experimental Factor Term Source REF	EFO			
Experimental Factor Term Accession Number	EFO_0000635			
Person Last Name	Garcia	Gagneur	Hahne	Kuster
Person First Name	David	Julien	Hannes	Bernhard
Person Mid Initials				
Person Email	dgarcia@ebi.ac.uk	ed.mut.ni@ruengag	moc.stuocscimo@enhah.sennah	ed.mut@retsuk
Person Phone				
Person Fax				
Person Address		Royal Institute of Technology, Stockholm, Sweden	 Freising, Germany	Technische Universität München, Freising, Germany
Person Affiliation	EMBL-EBI	Science for Life Laboratory, KTH 	OmicScouts GmbH	 Chair of Proteomics and Bioanalytics
Person Roles	curator	submitter	submitter	submitter
Public Release Date	2019-09-26			
PubMed ID	30777892			
Publication DOI				
Publication Author List	Wang D, Eraslan B, Wieland T, Hallström B, Hopf T, Zolg DP, Zecha J, Asplund A, Li LH, Meng C, Frejno M, Schmidt T, Schnatbaum K, Wilhelm M, Ponten F, Uhlen M, Gagneur, Hahn, Kuster			
Publication Title	A deep proteome and transcriptome abundance atlas of 29 healthy human tissues.			
Publication Status	published			
Publication Status Term Source REF	EFO			
Publication Status Term Accession Number	EFO_0001796			
Term Source Name	EFO			
Term Source File	http://www.ebi.ac.uk/efo/			
Term Source Version				
SDRF File	E-PROT-29.sdrf.txt			
Comment[TemplateType]	Human - proteomic profiling by array			
Comment[AEExperimentType]	proteomic profiling by mass spectrometer			
Comment[SecondaryAccession]	PXD010154			
Comment[ExpressionAtlasAccession]	E-PROT-29			
				
Protocol Name	Protocol 1	Protocol 2		
Protocol Type	proteomic profiling by mass spectrometer	sample collection protocol		
Protocol Term Source REF	EFO	EFO		
Protocol Term Accession Number	EFO_0002766	EFO_0005518		
Protocol Description	Proteomic profiling was done by mass spectrometer.  Further details can be found in the file methods-jarnuczak.pdf and referenced publication.	Please see sample collection protocol from A deep proteome and transcriptome abundance atlas of 29 healthy human tissues.		
