#file_format=SDRF
#version=v1.1.0
#template=default
#template_version=v1.1.0
source name	characteristics[organism]	characteristics[organism part]	characteristics[ancestry category]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[cell line]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	material type	assay name	technology type	comment[fraction identifier]	comment[technical replicate]	comment[file uri]	comment[instrument]	comment[MS2 analyzer type]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details].1	comment[modification parameters]	comment[modification parameters].1	comment[modification parameters].2	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[data file]
Sample 1	Homo sapiens	kidney	not available	46Y	adult	male	not available	Chromophobe renal cell carcinoma (chRCC)	not available	1	tissue	run 1	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_C10_F1.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	chRCC_C10_F1.raw
Sample 2	Homo sapiens	kidney	not available	46Y	adult	male	not available	Chromophobe renal cell carcinoma (chRCC)	not available	1	tissue	run 2	proteomic profiling by mass spectrometry	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_C10_F2.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	chRCC_C10_F2.raw
Sample 3	Homo sapiens	kidney	not available	46Y	adult	male	not available	Chromophobe renal cell carcinoma (chRCC)	not available	1	tissue	run 3	proteomic profiling by mass spectrometry	3	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_C10_F3.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	chRCC_C10_F3.raw
Sample 4	Homo sapiens	kidney	not available	49Y	adult	female	not available	Chromophobe renal cell carcinoma (chRCC)	not available	1	tissue	run 4	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_C1_F1.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	chRCC_C1_F1.raw
Sample 5	Homo sapiens	kidney	not available	49Y	adult	female	not available	Chromophobe renal cell carcinoma (chRCC)	not available	1	tissue	run 5	proteomic profiling by mass spectrometry	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_C1_F2.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	chRCC_C1_F2.raw
Sample 6	Homo sapiens	kidney	not available	49Y	adult	female	not available	Chromophobe renal cell carcinoma (chRCC)	not available	1	tissue	run 6	proteomic profiling by mass spectrometry	3	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_C1_F3.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	chRCC_C1_F3.raw
Sample 7	Homo sapiens	kidney	not available	37Y	adult	female	not available	Chromophobe renal cell carcinoma (chRCC)	not available	1	tissue	run 7	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_C2_F1.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	chRCC_C2_F1.raw
Sample 8	Homo sapiens	kidney	not available	37Y	adult	female	not available	Chromophobe renal cell carcinoma (chRCC)	not available	1	tissue	run 8	proteomic profiling by mass spectrometry	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_C2_F2.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	chRCC_C2_F2.raw
Sample 9	Homo sapiens	kidney	not available	37Y	adult	female	not available	Chromophobe renal cell carcinoma (chRCC)	not available	1	tissue	run 9	proteomic profiling by mass spectrometry	3	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_C2_F3.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	chRCC_C2_F3.raw
Sample 10	Homo sapiens	kidney	not available	42Y	adult	female	not available	Chromophobe renal cell carcinoma (chRCC)	not available	1	tissue	run 10	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_C3_F1.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	chRCC_C3_F1.raw
