#file_format=SDRF
#version=v1.1.0
#template=ms-proteomics,version=v1.1.0
source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[medium]	characteristics[temperature]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[file uri]
E10_C1	Escherichia coli	Cell lysate	Escherichia coli str. K-12	Not applicable	Prokaryotic cell	1	LB medium	37°C	Run 1	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Andrew_Sue_Ecoli_E10_C1.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	28% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD019140/E10_C1.raw
E11_C1	Escherichia coli	Cell lysate	Escherichia coli str. K-12	Not applicable	Prokaryotic cell	1	LB medium	37°C	Run 2	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Andrew_Sue_Ecoli_E11_C1.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	28% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD019140/E11_C1.raw
E12_C1	Escherichia coli	Cell lysate	Escherichia coli str. K-12	Not applicable	Prokaryotic cell	1	LB medium	37°C	Run 3	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Andrew_Sue_Ecoli_E12_C1.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	28% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD019140/E12_C1.raw
E16_C1	Escherichia coli	Cell lysate	Escherichia coli str. K-12	Not applicable	Prokaryotic cell	1	LB medium	37°C	Run 4	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Andrew_Sue_Ecoli_E16_C1.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	28% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD019140/E16_C1.raw
E17_C1	Escherichia coli	Cell lysate	Escherichia coli str. K-12	Not applicable	Prokaryotic cell	1	LB medium	37°C	Run 5	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Andrew_Sue_Ecoli_E17_C1.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	28% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD019140/E17_C1.raw
E18_C1	Escherichia coli	Cell lysate	Escherichia coli str. K-12	Not applicable	Prokaryotic cell	1	LB medium	37°C	Run 6	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Andrew_Sue_Ecoli_E18_C1.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	28% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD019140/E18_C1.raw
E19_C1_repeat	Escherichia coli	Cell lysate	Escherichia coli str. K-12	Not applicable	Prokaryotic cell	1	LB medium	37°C	Run 7	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Andrew_Sue_Ecoli_E19_C1_repeat.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	28% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD019140/E19_C1_repeat.raw
E1_C1_r	Escherichia coli	Cell lysate	Escherichia coli str. K-12	Not applicable	Prokaryotic cell	1	LB medium	37°C	Run 8	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Andrew_Sue_Ecoli_E1_C1_r.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	28% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD019140/E1_C1_r.raw
E20_C1	Escherichia coli	Cell lysate	Escherichia coli str. K-12	Not applicable	Prokaryotic cell	2	LB medium	37°C	Run 9	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Andrew_Sue_Ecoli_E20_C1.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	28% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD019140/E20_C1.raw
E21_C1	Escherichia coli	Cell lysate	Escherichia coli str. K-12	Not applicable	Prokaryotic cell	3	LB medium	37°C	Run 10	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Andrew_Sue_Ecoli_E21_C1.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	28% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD019140/E21_C1.raw
