#file_format=SDRF
#version=v1.1.0
#template=ms-proteomics,version=v1.1.0
source name	characteristics[organism]	characteristics[cell type]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[phenotype]	assay name	technology type	comment[plasmodium strain]	comment[proteomexchange accession number]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[dissociation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[phenotype]
Sample 1	plasmodium falciparum	schizonts	Homo Sapiens	not available	RBC	not available	1	wild	run 1	proteomic profiling by mass spectrometry	3D7	PXC005207	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plasmo_TP1_R3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005207/Plasmo_TP1_R3.raw	1	1	ITRAQ114	AC=MS:1002732;NT=Orbitrap Fusion Lumos	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=ITRAQ4plex114;PP=Any N-term;TA=K;AC=UNIMOD:532;MT=fixed	20 ppm	0.02 Da	wild
Sample 2	plasmodium falciparum	schizonts	Homo Sapiens	not available	RBC	not available	1	wild	run 2	proteomic profiling by mass spectrometry	3D7	PXC005207	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plasmo_TP2_R3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005207/Plasmo_TP2_R3.raw	1	1	ITRAQ114	AC=MS:1002732;NT=Orbitrap Fusion Lumos	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=ITRAQ4plex114;PP=Any N-term;TA=K;AC=UNIMOD:532;MT=fixed	20 ppm	0.02 Da	wild
Sample 3	plasmodium falciparum	schizonts	Homo Sapiens	not available	RBC	not available	1	wild	run 3	proteomic profiling by mass spectrometry	3D7	PXC005207	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plasmo_TP3_R3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005207/Plasmo_TP3_R3.raw	1	1	ITRAQ114	AC=MS:1002732;NT=Orbitrap Fusion Lumos	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=ITRAQ4plex114;PP=Any N-term;TA=K;AC=UNIMOD:532;MT=fixed	20 ppm	0.02 Da	wild
Sample 4	plasmodium falciparum	schizonts	Homo Sapiens	not available	RBC	not available	1	wild	run 4	proteomic profiling by mass spectrometry	3D7	PXC005207	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plasmo_TP4_R3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005207/Plasmo_TP4_R3.raw	1	1	ITRAQ114	AC=MS:1002732;NT=Orbitrap Fusion Lumos	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=ITRAQ4plex114;PP=Any N-term;TA=K;AC=UNIMOD:532;MT=fixed	20 ppm	0.02 Da	wild
Sample 5	plasmodium falciparum	schizonts	Homo Sapiens	not available	RBC	not available	1	wild	run 5	proteomic profiling by mass spectrometry	3D7	PXC005207	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plasmo_TP5_R3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005207/Plasmo_TP5_R3.raw	1	1	ITRAQ114	AC=MS:1002732;NT=Orbitrap Fusion Lumos	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=ITRAQ4plex114;PP=Any N-term;TA=K;AC=UNIMOD:532;MT=fixed	20 ppm	0.02 Da	wild
Sample 6	plasmodium falciparum	schizonts	Homo Sapiens	not available	RBC	not available	1	wild	run 6	proteomic profiling by mass spectrometry	3D7	PXC005207	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plasmo_TP6_R3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005207/Plasmo_TP6_R3.raw	1	1	ITRAQ114	AC=MS:1002732;NT=Orbitrap Fusion Lumos	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=ITRAQ4plex114;PP=Any N-term;TA=K;AC=UNIMOD:532;MT=fixed	20 ppm	0.02 Da	wild
Sample 7	plasmodium falciparum	schizonts	Homo Sapiens	not available	RBC	not available	1	wild	run 7	proteomic profiling by mass spectrometry	3D7	PXC005207	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plasmo_TP7_R3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005207/Plasmo_TP7_R3.raw	1	1	ITRAQ114	AC=MS:1002732;NT=Orbitrap Fusion Lumos	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=ITRAQ4plex114;PP=Any N-term;TA=K;AC=UNIMOD:532;MT=fixed	20 ppm	0.02 Da	wild
Sample 8	plasmodium falciparum	schizonts	Homo Sapiens	not available	RBC	not available	1	wild	run 8	proteomic profiling by mass spectrometry	3D7	PXC005207	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plasmo_TP8_R3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005207/Plasmo_TP8_R3.raw	1	1	ITRAQ114	AC=MS:1002732;NT=Orbitrap Fusion Lumos	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=ITRAQ4plex114;PP=Any N-term;TA=K;AC=UNIMOD:532;MT=fixed	20 ppm	0.02 Da	wild
Sample 9	plasmodium falciparum	schizonts	Homo Sapiens	not available	RBC	not available	1	wild	run 9	proteomic profiling by mass spectrometry	3D7	PXC005207	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plasmo_TP9_R3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005207/Plasmo_TP9_R3.raw	1	1	ITRAQ114	AC=MS:1002732;NT=Orbitrap Fusion Lumos	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=ITRAQ4plex114;PP=Any N-term;TA=K;AC=UNIMOD:532;MT=fixed	20 ppm	0.02 Da	wild
Sample 10	plasmodium falciparum	schizonts	Homo Sapiens	not available	RBC	not available	1	wild	run 10	proteomic profiling by mass spectrometry	3D7	PXC005207	NT=Data-dependent acquisition;AC=PRIDE:0000627	Plasmo_TP10_R3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD005207/Plasmo_TP10_R3.raw	1	1	ITRAQ114	AC=MS:1002732;NT=Orbitrap Fusion Lumos	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=ITRAQ4plex114;PP=Any N-term;TA=K;AC=UNIMOD:532;MT=fixed	20 ppm	0.02 Da	wild
